HQ622241.1,77133
KR332044.1,77133
KX419745.1,9690
CP028901.1,2163011
AB703773.1,171953
KF875643.1,77133
CU919128.1,77133
JQ696280.1,77133
FJ006830.1,77133
MG193683.1,1869227
EU221505.1,135496
KX481547.1,155900
HQ622790.1,9590
JQ612274.1,77133
MF493084.1,246139
MF077153.1,34073
KJ015901.1,77133
KY942643.1,77133
KU150193.1,77133
KM163727.1,77133
MG803930.1,375467
KM817876.1,1677042
KX419759.1,9690
KJ015655.1,77133
KJ659408.1,1211
MF152123.1,59620
MH091272.1,77133
MH588160.1,1934310
KU149726.1,77133
KU940108.1,1826720
KF783170.1,111452
HQ904143.1,77133
HQ622798.1,9590
MH463945.1,28081
MF592284.1,280093
KC563014.1,77133
KX477704.1,155900
LT629783.1,296
HQ400818.1,914762
HQ436603.1,77133
KC424667.1,77133
AP017421.1,36240
HQ218648.1,77133
KM181767.1,77133
KX123312.1,1619070
KX941450.1,115547
JQ766853.1,77133
KP899236.1,1645694
MG711330.1,2065395
KX568840.1,155900
JQ498730.1,77133
KM320305.1,77133
KF494587.1,77133
JF206528.1,77133
KJ818744.1,77133
KC435483.1,430693
AB430614.1,515474
KF544976.1,1211
KX941392.1,115547
HM128994.1,77133
GQ264615.1,115122
KP686664.1,77133
JQ941771.1,77133
KY943823.1,77133
KM346854.1,77133
KX100604.1,52556
KY018682.1,701737
KM121806.1,77133
FJ833211.1,77133
KU154508.1,77133
JQ207653.1,77133
KX123376.1,1618721
KX098455.1,61408
JQ488525.1,77133
KR326451.1,77133
JQ216372.1,77133
JN242799.1,1107859
MF522989.1,9606
EU639694.1,152509
MH112138.1,198431
MH091537.1,1869227
KM031132.1,77133
U58922.1,48085
KT072992.1,431333
KM817886.1,457355
FJ004742.1,77133
GQ264675.1,321095
KM182343.1,77133
MH085300.1,77133
GQ264609.1,223853
LN563431.1,77133
KC666258.1,77133
GQ923920.1,77133
JX221923.1,77133
JF930783.1,77133
KX569545.1,155900
AJ390452.1,110959
KX687437.1,115547
KY196428.1,35524
KM152326.1,77133
KM168316.1,77133
MF089145.1,77133
EU626174.1,152507
JN464146.1,155900
KY638693.1,58388
KX565302.1,155900
MF087412.1,77133
KF875656.1,77133
NC_037080.1,700922
MG277030.1,77133
KM335116.1,77133
KT024941.1,115547
KM323971.1,77133
HM316086.1,77133
KM162886.1,77133
HQ597245.1,171953
KR514455.1,77133
KU151665.1,77133
